1,J. Murrey Atkins Library ,Atkins Library,,35.30582877,-80.73241989,University library
2,Auxiliary Services Building,Auxiliary Services Building,,35.3077555,-80.73052981,Academic department
3,Bascom Weaver Barnard Building,Barnard,https://inside.charlotte.edu/news-features/2013-06-19/barnard-spearheaded-unc-charlotte-foundation,35.30580826,-80.73006041,Academic department
4, Thomas Milburn Belk Gym,Belk Gym,https://inside.charlotte.edu/news-features/2017-07-05/belk-gym-namesake-admired-leader-education-advocate,35.30542519,-80.73547054,Building
5,Bioinformatics Building,Bioinformatics Building,,35.31269625,-80.74196355,Academic department
6,Sherman Burson Building,Burson ,https://inside.charlotte.edu/news-features/2013-08-07/burson-building-honors-pioneering-dean,35.30743151,-80.73232125,Academic department
7,Charles Cliff Cameron Hall,Cameron Hall,https://inside.charlotte.edu/news-features/2016-05-28/longtime-university-benefactor-cliff-cameron-dies,35.30764643,-80.7311255,Research foundation
8,"Mebane, Cato College of Education ",Coed,https://inside.charlotte.edu/news-features/2016-11-11/college-education-named-cato-corp,35.3075278,-80.73413974,Academic department
9,Charlotte Early College high school,Early Collage High School,,35.30888584,-80.74409106,Engineering school
10,College of Health and Human Services Building,CHHS,,35.30737311,-80.73332808,Academic department
11,Wayland H. Cato Hall ,Cato hall,https://inside.charlotte.edu/news-features/2014-04-22/cato-hall-honors-local-business-leader-philanthropist,35.30537588,-80.72876256,Academic department
12,Dean W.Colvard Building ,Colvard,https://inside.charlotte.edu/news-features/2012-12-12/colvard-building-named-university%E2%80%99s-first-chancellor,35.30487432,-80.73177323,Academic department
13,Mary Rebecca Denny Building,Denny ,https://inside.charlotte.edu/news-features/2013-02-19/denny-building-honors-former-english-professor,35.30542677,-80.72985816,Academic department
14,Duke Centennial Hall,Duke,https://inside.charlotte.edu/news-features/2015-01-14/duke-centennial-hall-honors-duke-energy%E2%80%99s-power-partnership-university,35.31191805,-80.74112866,Academic department
15,Foundation Building,Foundation Building,,35.29794506,-80.73685051,
16,Albert & Freeman Energy Production and Infrastructure Center ,EPIC,https://inside.charlotte.edu/news-features/2020-10-13/epic-building-named-alumni-craig-and-darla-albert,35.30921774,-80.74150146,
17,Facilities Management/PPS Building,PPS Building,,35.31187619,-80.73024815,
18,Facilities Operations and Parking Building,Parking Building,,35.31187619,-80.73024815,
19,E.K. and Dorrie Fretwell Building ,Fretwell ,https://inside.charlotte.edu/news-features/2014-06-25/fretwell-building-recognizes-towering-educational-leader,35.30607047,-80.72916471,Academic department
20,Ida and William Friday Building ,Friday,https://inside.charlotte.edu/news-features/2013-12-04/friday-building-named-former-unc-president,35.30622927,-80.7299535,Academic department
21,Lucius G. Gage Undergraduate Admissions Center,Gage Undergraduate Admissions,https://inside.charlotte.edu/news-features/2019-08-14/undergraduate-admissions-center-named-lucius-gage,35.30120517,-80.73302375,Academic department
22,Elmer Henry Garinger Building,Garinger Building,https://inside.charlotte.edu/news-features/2013-09-24/garinger-building-named-education-visionary,35.30504473,-80.73006679,Academic department
23,Harris Alumni Center at Johnson Glen ,Harris Alumni Center,,35.30278174,-80.73865024,University
24,W.A. Kennedy Building,Kennedy,https://inside.charlotte.edu/news-features/2012-10-01/kennedy-building-honors-university%E2%80%99s-%E2%80%98spiritual-father%E2%80%99,35.30590293,-80.73096018,Academic department
25,Arnold K.K ing Building,King ,https://inside.charlotte.edu/news-features/2013-05-21/king-helped-plan-unc-system%E2%80%99s-future,35.30508152,-80.73241922,
26,Alan Kulwicki Motorsports Laboratory,Motorsports Laboratory,https://features.charlotte.edu/the-science-of-nascar-2,35.31241251,-80.7407418,Academic department
27,Pierre Macy Building,Macy,https://inside.charlotte.edu/news-features/2012-12-05/macy-building-honors-legacy-french-professor,35.30569796,-80.73047723,Academic department
28,William Hugh McEniry Building,McEniry Building,https://inside.charlotte.edu/news-features/2012-12-18/mceniry-building-recognizes-first-academic-affairs-vice-chancellor,35.30714582,-80.73014853,Academic department
29,Mebane Hall (houses the Cato College of Education),College of Education,https://inside.charlotte.edu/news-features/2023-09-19/cato-college-education-names-mebane-hall-honor-multimillion-dollar,35.30733868,-80.73408474,Academic department
30,Memorial Hall,Memorial Hall,,35.30386175,-80.7356114,Academic department
31," Battery Complexity, Autonomous Vehicle and Electrification",BATT CAVE,https://inside.charlotte.edu/news-features/2023-06-01/north-carolina-batt-cave-research-center-accelerate-innovations-batteries,35.31252927,-80.7403045,
32,"Partnership, Outreach and Research to Accelerate Learning",PORTAL,https://inside.charlotte.edu/news-features/2014-02-28/formal-ceremony-dedicates-portal-developed-harness-power-unc-charlotte,35.31157655,-80.74290064,University
33,Addison Hardcastle Reese Building,Reese,https://inside.charlotte.edu/news-features/2013-01-08/reese-building-namesake-banking-titan-staunch-university-supporter,35.30461402,-80.73256247,Academic department
34,Thomas L. Reynolds Center,Renolds,https://inside.charlotte.edu/news-features/2022-12-15/center-graduate-life-and-learning-named-dean-tom-reynolds,35.30557009,-80.73175722,
35,Russell and Sally Dalton Robinson Hall for the Performing Arts ,Robinson Hall ,https://inside.charlotte.edu/news-features/2012-08-28/robinson-considered-%E2%80%98quiet-power%E2%80%99-university,35.30378468,-80.72996051,Academic department
36,Oliver Reagan Rowe Arts Building,Rowe,https://inside.charlotte.edu/news-features/2013-07-23/rowe-supported-arts-education,35.30475681,-80.73094028,Academic department
37,Science Building,Science Building,,35.30840273,-80.73022434,Academic department
38,Sheldon Phelps Smith Building,Smith ,https://inside.charlotte.edu/news-features/2013-10-23/smith-pioneered-university%E2%80%99s-engineering-program,35.3068862,-80.73134322,Academic department
39,Thomas I. Storrs Building,Storrs,https://inside.charlotte.edu/news-features/2013-05-01/storrs-building-considered-architectural-textbook,35.30486023,-80.72928602,Corporate office
40,Edyth Farnham Winningham Building,Winningham,https://inside.charlotte.edu/news-features/2013-03-13/winningham-building-recognizes-faculty-pioneer,35.30512183,-80.73049015,Academic department
41,James and Martha Woodward Hall ,Woodward,https://inside.charlotte.edu/news-features/2016-01-27/woodward-hall-honors-chancellor-who-engineered-university%E2%80%99s-maturation,35.30717561,-80.73560648,School
42,James H. Barnhardt Student Activity Center,SAC,https://inside.charlotte.edu/news-features/2013-07-09/barnhardt-student-activity-center-named-education-proponent,35.30582592,-80.73393495,Academic department
43,Cafeteria Activities Building,Cafeteria Activities Building,,35.30924189,-80.7282563,Academic department
44,Bonnie E. Cone University Center,Cone,https://inside.charlotte.edu/news-features/2012-09-11/cone-center-honors-legacy-miss-bonnie,35.30534519,-80.73296887,University
45, Jamil Niner Student Pantry,Student Pantry,https://inside.charlotte.edu/news-features/2016-09-01/food-pantry-named-supporters-dhiaa-and-hope-jamil,35.309931,-80.72398884,Food bank
46, Karen A. Popp and Demond T. Martin Student Union ,Popp Martin Student Union,https://inside.charlotte.edu/news-features/2016-09-22/200-million-%E2%80%98exponential%E2%80%99-capital-campaign-power-unc-charlotte%E2%80%99s-future,35.30839393,-80.73374049,Student union
47,Christine Price Center for Counseling and Psychological Services ,Psychological Services.,https://inside.charlotte.edu/news-features/2017-10-30/center-counseling-and-psychological-services-named-alumna-christine-price,35.31027118,-80.73010736,Psychological Services
48,Prospector Building,Prospector,,35.30648558,-80.7309162,Building
49,Joyce Davis Waddell Center for Student Health and Wellbeing,Student Health Center,https://inside.charlotte.edu/news-features/2023-11-08/joyce-davis-waddell-center-student-health-and-wellbeing-named,35.31075588,-80.72954197,Community center
50,University Recreation Center UREC,UREC,https://inside.charlotte.edu/news-features/2020-01-08/university-recreation-center-officially-opens-its-doors,35.30825482,-80.73448456,Recreation center
51,Belk Hall,Belk Hall,,35.31071254,-80.73459187,Student dormitory
52,Elm Hall,Elm Hall,,35.30876685,-80.73117328,Student dormitory
53,Greek Village,Greek Village,,35.31193965,-80.72633969,Student dormitory
54,Hawthorn Hall,Hawthorn Hall,,35.31150155,-80.7274107,Student dormitory
55,Gov. James Holshouser Hall,Holshouser Hall,,35.30216291270588, -80.73590250728908,Event venue
56,Gov. James Hunt Hall,Hunt Hall,,35.30143638,-80.73589703,Student dormitory
57,Laurel Hall,Laurel Hall,,35.30244682,-80.73577925,Wedding venue
58,Levine Hall,Levine Hall,https://inside.charlotte.edu/news-features/2017-04-13/levine-hall-dedicated-honor-%E2%80%98special-friends%E2%80%99-university,35.30274413,-80.73311405,Student dormitory
